"12"	"2018214106"
"15"	"2018214106"
"17"	"2018214106"
"12"	"2018214108"
"17"	"2018214108"
"21"	"2018214108"
"1"	"2018214109"
"12"	"2018214109"
"19"	"2018214109"
"11"	"2018214110"
"12"	"2018214110"
"16"	"2018214110"
"17"	"2018214110"
"1"	"2018214112"
"4"	"2018214112"
"10"	"2018214112"
"12"	"2018214112"
"17"	"2018214112"
"20"	"2018214112"
"11"	"2018214113"
"12"	"2018214113"
"13"	"2018214113"
"14"	"2018214113"
"1"	"2018214114"
"12"	"2018214114"
"17"	"2018214114"
"18"	"2018214114"
"11"	"2018214117"
"12"	"2018214117"
"4"	"2018214118"
"10"	"2018214118"
"12"	"2018214118"
"4"	"2018214122"
"10"	"2018214122"
"12"	"2018214122"
"15"	"2018214122"
"9"	"2018214123"
"10"	"2018214123"
"5"	"2018214124"
"8"	"2018214126"
"6"	"2018214127"
"3"	"2018214129"
"4"	"2018214129"
"1"	"2018214131"
"2"	"2018214131"
"4"	"2018214131"
"3"	"2018214145"
"9"	"2018214145"
"12"	"2018214145"
"17"	"2018214145"
